Scaling,Weights,Loss,Aggr,Val_F1_Mean,Val_F1_Std,Val_Prec_Mean,Val_Prec_Std,Val_Rec_Mean,Val_Rec_Std,Test_F1_Mean,Test_F1_Std,Test_Prec_Mean,Test_Prec_Std,Test_Rec_Mean,Test_Rec_Std
none,balanced,cross_entropy,mean,0.3284,0.0201,0.2465,0.0251,0.4984,0.0325,0.3268,0.0352,0.2467,0.0353,0.4907,0.0423
none,manual,cross_entropy,mean,0.3222,0.0134,0.2423,0.0286,0.5184,0.112,0.3194,0.02,0.2405,0.0336,0.5093,0.0972
none,none,cross_entropy,mean,0.3061,0.0182,0.2175,0.0252,0.5377,0.0776,0.2959,0.0141,0.2121,0.0222,0.5107,0.0809
none,balanced,focal,mean,0.2467,0.0146,0.192,0.012,0.3543,0.0653,0.2389,0.0179,0.1873,0.024,0.3373,0.0373
none,manual,focal,mean,0.2467,0.0146,0.192,0.012,0.3543,0.0653,0.2389,0.0179,0.1873,0.024,0.3373,0.0373
none,none,focal,mean,0.2467,0.0146,0.192,0.012,0.3543,0.0653,0.2389,0.0179,0.1873,0.024,0.3373,0.0373
none,balanced,cross_entropy,max,0.2477,0.0256,0.151,0.0264,0.7614,0.1178,0.2399,0.0225,0.1461,0.0241,0.7373,0.1191
none,manual,cross_entropy,max,0.2839,0.0408,0.2455,0.0933,0.4411,0.1748,0.2892,0.0347,0.2465,0.0784,0.446,0.1746
none,none,cross_entropy,max,0.2888,0.0264,0.308,0.0633,0.3165,0.1354,0.293,0.0336,0.3231,0.0794,0.3087,0.1068
none,balanced,focal,max,0.164,0.0453,0.4486,0.1081,0.1019,0.0303,0.1572,0.0285,0.4477,0.1082,0.0967,0.018
none,manual,focal,max,0.164,0.0453,0.4486,0.1081,0.1019,0.0303,0.1572,0.0285,0.4477,0.1082,0.0967,0.018
none,none,focal,max,0.164,0.0453,0.4486,0.1081,0.1019,0.0303,0.1572,0.0285,0.4477,0.1082,0.0967,0.018
log,balanced,cross_entropy,mean,0.5388,0.0122,0.467,0.0409,0.6489,0.0632,0.5284,0.0193,0.4567,0.0328,0.6413,0.0869
log,manual,cross_entropy,mean,0.5362,0.0094,0.4636,0.0365,0.6475,0.0676,0.5271,0.0159,0.4506,0.0407,0.646,0.0629
log,none,cross_entropy,mean,0.5146,0.0072,0.442,0.0615,0.6469,0.0979,0.4928,0.0187,0.4241,0.058,0.6267,0.1141
log,balanced,focal,mean,0.4729,0.0164,0.3934,0.0515,0.6336,0.1302,0.4592,0.0186,0.3812,0.0548,0.6227,0.1422
log,manual,focal,mean,0.4729,0.0164,0.3934,0.0515,0.6336,0.1302,0.4592,0.0186,0.3812,0.0548,0.6227,0.1422
log,none,focal,mean,0.4729,0.0164,0.3934,0.0515,0.6336,0.1302,0.4592,0.0186,0.3812,0.0548,0.6227,0.1422
log,balanced,cross_entropy,max,0.5633,0.0065,0.4789,0.0113,0.6849,0.0202,0.5686,0.0166,0.4829,0.0212,0.694,0.039
log,manual,cross_entropy,max,0.5673,0.0115,0.4828,0.0377,0.6982,0.058,0.5608,0.0127,0.4758,0.0328,0.6913,0.055
log,none,cross_entropy,max,0.5718,0.0049,0.4919,0.0257,0.6902,0.0585,0.5629,0.0103,0.4797,0.0278,0.6847,0.029
log,balanced,focal,max,0.5422,0.0079,0.4393,0.0352,0.7202,0.0613,0.5374,0.025,0.4366,0.0287,0.7193,0.1075
log,manual,focal,max,0.5422,0.0079,0.4393,0.0352,0.7202,0.0613,0.5374,0.025,0.4366,0.0287,0.7193,0.1075
log,none,focal,max,0.5422,0.0079,0.4393,0.0352,0.7202,0.0613,0.5374,0.025,0.4366,0.0287,0.7193,0.1075
log_and_z,balanced,cross_entropy,mean,0.5485,0.0037,0.4677,0.0308,0.6723,0.059,0.5307,0.0173,0.45,0.0187,0.6573,0.083
log_and_z,manual,cross_entropy,mean,0.5563,0.0032,0.4999,0.049,0.6436,0.0768,0.5395,0.0268,0.4868,0.0451,0.6247,0.0997
log_and_z,none,cross_entropy,mean,0.5299,0.0105,0.4836,0.0298,0.5923,0.0516,0.5285,0.0289,0.4778,0.0359,0.6,0.0731
log_and_z,balanced,focal,mean,0.489,0.0116,0.448,0.0238,0.5443,0.0514,0.4796,0.0224,0.4385,0.0357,0.534,0.042
log_and_z,manual,focal,mean,0.489,0.0116,0.448,0.0238,0.5443,0.0514,0.4796,0.0224,0.4385,0.0357,0.534,0.042
log_and_z,none,focal,mean,0.489,0.0116,0.448,0.0238,0.5443,0.0514,0.4796,0.0224,0.4385,0.0357,0.534,0.042
log_and_z,balanced,cross_entropy,max,0.5672,0.0082,0.4873,0.0305,0.6856,0.051,0.554,0.0161,0.4723,0.0173,0.674,0.0531
log_and_z,manual,cross_entropy,max,0.5708,0.0096,0.5042,0.0388,0.6682,0.0631,0.5555,0.0164,0.4871,0.0246,0.6553,0.0745
log_and_z,none,cross_entropy,max,0.5797,0.0065,0.5151,0.0245,0.6656,0.0285,0.5763,0.0128,0.5084,0.011,0.666,0.0296
log_and_z,balanced,focal,max,0.5615,0.011,0.4717,0.0282,0.6982,0.0324,0.5521,0.0125,0.4594,0.0129,0.6953,0.051
log_and_z,manual,focal,max,0.5615,0.011,0.4717,0.0282,0.6982,0.0324,0.5521,0.0125,0.4594,0.0129,0.6953,0.051
log_and_z,none,focal,max,0.5615,0.011,0.4717,0.0282,0.6982,0.0324,0.5521,0.0125,0.4594,0.0129,0.6953,0.051
