Dim,LR,Dropout,WeightDecay,Val_F1_Opt,Val_Prec_Opt,Val_Rec_Opt,Best_Threshold,Test_F1_Opt,Test_Prec_Opt,Test_Rec_Opt
64,0.01,0.5,0,0.527,0.4225,0.7,0.75,0.5276,0.4234,0.7
64,0.01,0.5,0.0005,0.5279,0.4262,0.6933,0.75,0.5345,0.4336,0.6967
64,0.01,0.3,0,0.5342,0.4306,0.7033,0.75,0.5239,0.4274,0.6767
64,0.01,0.3,0.0005,0.5335,0.5015,0.57,0.8,0.5367,0.5044,0.5733
64,0.001,0.5,0,0.4097,0.3439,0.5067,0.7,0.4064,0.3393,0.5067
64,0.001,0.5,0.0005,0.4054,0.3409,0.5,0.7,0.3989,0.3333,0.4967
64,0.001,0.3,0,0.4039,0.2987,0.6233,0.65,0.4142,0.3054,0.6433
64,0.001,0.3,0.0005,0.4022,0.2976,0.62,0.65,0.4151,0.3072,0.64
128,0.01,0.5,0,0.5302,0.4319,0.6867,0.75,0.5521,0.453,0.7067
128,0.01,0.5,0.0005,0.532,0.4315,0.6933,0.75,0.5356,0.4376,0.69
128,0.01,0.3,0,0.5435,0.5087,0.5833,0.8,0.5455,0.5148,0.58
128,0.01,0.3,0.0005,0.544,0.449,0.69,0.75,0.5474,0.4612,0.6733
128,0.001,0.5,0,0.4549,0.3985,0.53,0.75,0.4444,0.3919,0.5133
128,0.001,0.5,0.0005,0.4578,0.401,0.5333,0.75,0.439,0.3854,0.51
128,0.001,0.3,0,0.4502,0.3811,0.55,0.75,0.4526,0.3813,0.5567
128,0.001,0.3,0.0005,0.4559,0.3844,0.56,0.75,0.4534,0.381,0.56
